Spectrum	Date	Time	H2O% 191C	CO ppm 191C (1of2)	CO% 191C (2of2)	CO2% 191C	Temp (C)	Pressure (Atm)	H2O% 191C resid	CO ppm 191C (1of2) resid	CO% 191C (2of2) resid	CO2% 191C resid	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
N/A	12/19/2016	16:56:22.822	0.051295	8935.838459	1.024269	0.482233	190.248062	1.009288	0.035535	142.091547	0.012836	0.903192	2.103623	7.151014	86.823532	4.862745	-5.019608	1.000000	1126.468384	0.003275	1402.362427	0.737722
N/A	12/19/2016	16:56:42.414	0.055671	8875.345132	1.023657	0.488587	190.215927	1.009390	0.034996	141.325676	0.012886	0.903355	2.096460	7.147976	86.117645	4.941176	-5.019608	1.000000	1126.639771	0.003211	1436.449463	0.737219
N/A	12/19/2016	16:57:02.037	0.050560	8884.677152	1.025514	0.471212	190.221283	1.009423	0.034067	141.299469	0.012921	0.902155	2.096354	7.148058	86.117645	4.901961	-5.019608	1.000000	1126.643921	0.003249	1883.427856	0.737284
N/A	12/19/2016	16:57:21.666	0.053844	8989.778164	1.034167	0.479402	190.296249	1.009339	0.035046	142.018068	0.013115	0.901232	2.106646	7.152306	86.823532	4.901961	-5.019608	1.000000	1126.571899	0.003295	1328.450928	0.738312
N/A	12/19/2016	16:57:41.284	0.047830	8934.480648	1.025644	0.480995	190.296249	1.009457	0.033318	142.190995	0.013087	0.899087	2.097319	7.148109	86.823532	4.862745	-5.019608	1.000000	1126.641479	0.003256	1924.642334	0.737019
N/A	12/19/2016	16:58:00.915	0.046229	8903.034659	1.024544	0.480628	190.253418	1.009322	0.033402	142.295925	0.012848	0.899259	2.093616	7.146725	86.117645	4.941176	-5.019608	1.000000	1126.538696	0.003390	1812.253662	0.736564
N/A	12/19/2016	16:58:20.556	0.050483	8932.445245	1.027791	0.467151	190.248062	1.009339	0.034067	141.037787	0.012974	0.897102	2.100491	7.150082	87.529411	4.784314	-5.019608	1.000000	1126.597778	0.003440	1922.528320	0.737483
N/A	12/19/2016	16:58:40.180	0.053743	8979.628603	1.028634	0.469944	190.242706	1.009322	0.032881	141.719279	0.012968	0.897570	2.103493	7.151630	86.823532	4.862745	-5.019608	1.000000	1126.591431	0.003195	1527.041992	0.737881
N/A	12/19/2016	16:58:59.803	0.058044	8968.875017	1.028693	0.469874	190.215927	1.009373	0.033616	142.156392	0.012884	0.897148	2.102901	7.151653	86.823532	4.862745	-5.019608	1.000000	1126.609131	0.003358	1643.692993	0.737717
N/A	12/19/2016	16:59:19.403	0.049223	8920.449549	1.027059	0.479028	190.189148	1.009373	0.032776	140.580523	0.013038	0.894975	2.097227	7.149023	86.117645	4.941176	-5.019608	1.000000	1126.629517	0.003329	1844.340942	0.736749
N/A	12/19/2016	16:59:39.060	0.043155	8961.521713	1.031455	0.485424	190.215927	1.009339	0.033628	142.915698	0.012962	0.896191	2.102222	7.151577	86.823532	4.862745	-5.019608	1.000000	1126.559204	0.003273	2066.710449	0.737761
